5012,1,4,4,1/30/10,313,3,2, ,1,10,2,4/19/96,13,1, ,1,8,85, ,3, , , , , ,2,3,3,2,1,1,1,3,4,2,4,2,4,1,4,2,4,6,1,1,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,1,4,1,3,2,4,3,2,2,1,1,1,1,2,2,1,2,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,2,3,3,1,2,7,7,2, , , , , , , , , , , , , , , ,1,1,4,4,7.83,23:00:00,6:50:00,4,0,0,0,2,2,2,1,3,1,3,3,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,4,2,3,2,4,3,2,3,2,1,1,4,3,3,1,2,2,2,3,3,3,3, , , ,4,3,66,103,5,6, ,103, ,1,1,1,1,2,3,2,2,1,1,1,2,0,0,3,1,0,0,0,3,5,3,1,1,1,5,2,3,3,3,2,4,4,3, , , , , , ,4,1,3,4,2,1,3,2,1,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,2,4,3,3,3,3,3,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,2, , , , , ,1,1, ,2, ,2, ,1,4,2,4,5,3,4,4, , , , , , , , , , , , , , , , , 
5014,1,4,4,12/18/09,310,3,1, ,1,10,2,5/9/96,13,2, ,2,8,92, ,1,1,don't know where he lives, , , ,2,1,1,1,2,1,1,2,4,2,3,1,4,1,4,1,4,2,2,1,0,2,2,2, , , , , , , , , , , , , , , , , , , ,2,4,2,4,2,4,4,4,4,4,2,1,1,1,1,3,3,1,3,3,1,3,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,1,1,1,1,3,2,1,1,1,4,1,1,7,6,2, , , , , , , , , , , , , , , ,1,1,3,4,8,22:00:00,6:00:00,3,0,0,0,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,2,2,3,3,2,2,1,1,3,3,3,2,4,3,3,4,1,2,2, , , ,2,2,60,140,5,99, ,140, ,1,1,1,2,1,1,1,1,1,2,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,7,3,3,1,4,4,1, , , , , , ,3,2,3,3,2,2,3,3,2,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,4,2,4,4,4,3,4,4,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,50,12, , , ,1,1, ,2, ,2, ,2,4,2,4,5,3,5,5, , , , , , , , , , , , , , , , , 
5030,1,4,4,5/30/10,333,3,2, ,1,10,1,10/11/96,13,2, ,2,8,37, ,3, , , , , ,2,2,2,1,1,1,1,4,4,4,4,4,4,3,4,4,4,4,0,1,0,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,1,4,1,4,3,4,4,4,2,1,1,1,1,2,4,1,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,2,1,1,1,4,4,2,3,1,4,2,1,8,8,2, , , , , , , , , , , , , , , ,1,1,3,3,9,22:00:00,7:00:00,4,0,0,0,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,2,5,3,4,2,3,2,2,1,1,4,4,3,2,4,3,4,3,1,3,3,3,1,13, , ,59,115,4,11, ,115, ,1,1,1,1,1,1,1,1,1,1,1,1,0,20,3,0,0,0,1,10,1,2,3,2,0,0,10,7,3,3,2,3,3,3, , , , , , ,3,2,3,3,2,2,4,3,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,3,4,2,2,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,45,2, , , ,1,1, ,2, ,1, ,3,8,2,4,4,2,4,4, , , , , , , , , , , , , , , , , 
5031,1,4,4,12/12/09,329,3,2, ,1,10,1,8/27/96,13,1, ,1,8,70,Edwardharris Jr Middle School,3, , , , , ,1,1,1,1,1,1,1,3,4,2,3,2,2,1,4,2,4,4,4,0,1,2,2,2, , , , , , , , , , , , , , , , , , , ,1,3,1,4,1,4,4,4,4,4,3,1,1,1,1,3,3,2,2,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,7,7,2, , , , , , , , , , , , , , , ,1,1,3,3,8,22:00:00,6:00:00,4,5,3,15,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,4,4,2,2,1,1,2,3,3,2,4,4,4,3,2,2,1,2,1,10, , ,63,106,5,3, ,106, ,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,2,0,0,2,2,1,5,0,7,0,3,17,56,4,4,3,4,4,4, , , , , , ,3,2,3,3,2,3,3,2,2,3,5,4,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,3,2,5,2,3,4,4,2,3,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2, , , , , ,1,1, ,2, ,1, ,2,3,2,4,5,3,4,4, , , , , , , , , , , , , , , , , 
5041,1,4,4,1/10/10,316,3,2, ,1,10,2,9/20/96,13,1, ,2,8,70,Sutter middle school,3, , , , , ,2,2,2,1,1,1,1,3,4,3,3,3,3,1,4,3,3,5,1,2,0,2,2,2,2, , ,11,12, , , , , ,1,1, , , , , , , ,1,4,1,4,1,2,3,4,4,4,2,1,1,1,1,4,1,1,1,1,9,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,1,8,8,2, , , , , , , , , , , , , , , ,1,1,3,3,9.5,22:00:00,7:30:00,4,4,7,28,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,9,2,9,1,1,2,4,3,1,4,2,2,3,2,2,1, , , ,3,3,99,100,9, , ,100, ,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,0,13,0,4,5,3,1,6,0,0,20,8,4,4,3,4,4,2, , , , , , ,4,1,4,4,2,2,4,4,1,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,5,3,4,2,4,3,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,2, , , , , ,2,1, ,2, ,2, ,3,8,2,5,5,2,5,5, , , , , , , , , , , , , , , , , 
5045,1,4,4,3/2/10,326,3,2, ,1,10,2,2/13/96,14,1, ,1,8,87, ,3, , , , , ,4,2,4,3,3,3,3,3,3,3,3,3,4,2,4,2,4,4,0,1,0,2,2,2,2, , , ,12,13, , , , , ,1,1, , , , , , ,1,4,1,4,1,4,3,4,4,4,4,1,1,1,1,3,3,1,3,2,3,3,3,4,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,4,2,1,7,7,2, , , , , , , , , , , , , , , ,1,1,1,3,9,22:00:00,7:00:00,4,5,2,10,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,1,4,2,4,3,1,1,2,4,4,4,1,4,4,4,3,3,4,4, , , ,4,3,67,999,5,7, ,999, ,1,2,1,1,2,2,1,2,1,1,1,1,2,4,3,2,1,0,2,1,6,3,1,4,0,0,20,5,4,4,2,4,4,3, , , , , , ,3,3,3,3,2,2,3,3,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,2,4,3,4,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,2,2, , , , , ,1,1, ,2, ,1, ,4,4,2,5,5,3,4,4, , , , , , , , , , , , , , , , , 
5054,1,4,4,12/22/09,310,3,2, ,1,10,2,12/5/95,14,2, ,1,8,92, ,3, , , , , ,1,1,1,1,1,1,1,4,4,2,4,3,4,2,4,3,4,6,1,3,0,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,1,4,1,4,4,4,4,4,4,1,1,1,1,4,4,3,3,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,1,1,1,1,3,4,1,4,1,4,2,1,7,7,2, , , , , , , , , , , , , , , ,1,1,4,4,9,22:00:00,7:00:00,4,2,2.5,5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,4,4,2,5,4,4,4,3,1,1,3,4,4,1,4,4,4,2,2,2,2, , , ,2,2,64,120,5,4, ,120, ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,2,2,1,1,2,1,0,3,1,3,3,3,4,4,4, , , , , , ,4,1,4,3,2,1,4,3,1,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,2,5,1,5,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,50,11, , ,CFP,1,1, ,2, ,1, ,1,4,2,4,5,4,4,4, , , , , , , , , , , , , , , , , 
5058,1,4,4,3/12/10,311,3,2, ,1,10,1,12/18/95,14,1, ,1,8,89, ,3, , , , , ,1,1,1,1,1,1,1,2,3,1,4,2,4,2,4,1,4,0,1,1,1,2,2,2,1, ,12,14,13,14, , , ,1,1,1,1, , , , , , ,2,4,2,4,2,3,1,4,3,4,2,3,3,3,1,4,4,4,3,3,3,2,2,3,0,0,2,1,1,1,0,0,1,0,0,1,0,2,3,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,8,3,2, , , , , , , , , , , , , , , ,1,1,2,3,7,23:00:00,6:00:00,4,0,0,0,2,3,1,1,2,2,3,4,1,2,1,1,1,1,1,2,2,2,1,3,2,3,2,3,1,2,1,3,2,2,4,1,4,2,4,3,3,1,4,1,4,2,1,3,3,3,1,12, , ,60,150,5,0, ,150, ,1,1,3,2,2,2,1,2,1,1,1,1,60,60,0,2,0,0,0,4,20,0,5,1,2,0,4,6,1,1,1,3,3,2, , , , , , ,2,2,3,2,2,2,2,2,3,2,1,3,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,3,4,4,2,3,2,3,3,2,3,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,250,13,8, , ,1,1, ,2, ,1, ,3,3,1,1,1,1,1,1, , , , , , , , , , , , , , , , , 
5080,1,4,4,12/23/09,308,3,2,2,1,10,1,7/20/95,14,1, ,1,8,90, ,4,1,9999999999999999999999999999999999999999999999999999999999999999, , , ,1,1,1,1,1,1,1,3,3,2,4,2,2,1,4,2,4,4,0,1,0,2,2,2, , , , , , , , , , , , , , , , , , , ,1,4,1,4,1,4,4,4,4,4,4,1,1,1,1,4,2,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,1,1,1,1,1,2,1,1,2,2,1,9,2,4,2,1,8,99,2, , , , , , , , , , , , , , , ,1,1,2,4,6.5,23:30:00,6:00:00,4,2,1,2,1,1,1,1,1,1,2,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,5,5,4,9,2,3,3,1,1,2,3,2,2,3,3,3,9,2,3,3,3,1,8, , ,59,135,4,11, ,135, ,1,1,1,1,1,1,1,2,1,1,1,1,7,7,1,3,0,2,0,7,21,4,0,8,0,0,42,21,4,4,2,4,4,9, , , , , , ,3,2,3,3,2,2,3,2,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,2,9,2,4,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,100,2, , , ,1,1, ,2, ,1, ,2,4,2,4,5,3,5,5, , , , , , , , , , , , , , , , , 
5083,1,4,4,2/10/10,332,3,2, ,1,10,1,12/28/95,14,1, ,1,8,85, ,3, , , , , ,3,3,3,4,1,3,1,3,3,4,4,4,4,2,4,2,4,3,3,0,1,1,2,2,2,1, ,13, ,13,13, , , ,1, ,1,1, , , , , ,1,4,1,4,1,2,1,4,4,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,1,1,2,3,2,1,1,1,4,2,4,2,1,6,6,2, , , , , , , , , , , , , , , ,1,1,4,3,8,22:00:00,6:00:00,4,5,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,4,1,1,1,5,4,1,2,1,1,2,4,1,4,2,4,2,1,3,4,3,1,11, , ,62,120,5,2, ,120, ,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0,1,0,1,0,0,3,3,2,1,0,8,0,1,4,3,1,3,3,3, , , , , , ,3,2,3,4,1,1,4,1,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,1,5,4,2,1,4,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,1,100,1, , , ,1,2,"Translated the statement ""Critical and Quarelsome"" to Spanish using the translate button in Blaise",2, ,1, ,2,8,2,3,4,3,3,3, , , , , , , , , , , , , , , , , 
