"famid","income","fameduc"
7406,13,8
7408,4,8
7409,3,6
7410,7,6.5
7413,16,8
7416,5,11.75
7418,10,9.5
7428,17,10.5
7431,4,6
7433,5,10
7436,20,13
7437,10,12
7440,5,9.5
7441,15,13
7442,13,14
7443,.,.
7444,12,13.5
7445,9,8.5
7447,15,12.5
7455,4,6.5
7456,5,13.5
7457,14,9
7458,15,.
7459,17,.
7460,.,12.5
7465,5,5.5
7468,7,12
7469,20,16.5
7470,19,13
7475,1,6
7480,8,11.5
7482,1,9.5
7483,4,.
7493,13,12
7494,8,8
7497,16,12.5
7500,5,8
7502,7,4.5
7503,7,9
7507,10,12.5
7510,6,9.5
7513,4,.
7514,5,11.5
7516,9,7.5
7518,10,11
7521,3,5.5
7522,4,6
7528,3,.
7531,7,12.5
7532,4,.
7534,7,12.5
7537,8,9
7538,14,14.5
7540,14,9
7541,17,12
7542,14,10.5
7544,3,.
7546,5,.
7548,13,12
7551,11,10.5
7552,6,12
7553,6,9
7554,16,6
7555,2,.
7557,.,9
7561,5,7.5
7562,11,6.5
7565,9,9
7566,8,7.5
7570,9,.
7572,8,6
7575,10,12
7580,7,15
7586,5,7.5
7587,8,.
7589,10,9.5
7592,14,9.5
7598,3,.
7600,5,12.5
7601,13,8
7603,8,13
7606,3,.
7608,8,.
7611,7,6
7612,11,5.5
7618,6,3.5
7619,4,7
7621,11,11
7623,7,16
7628,3,.
7634,4,7.5
7641,3,5.5
7648,11,7.5
7651,16,10.5
7656,16,.
7661,3,8.5
7662,8,7.5
7674,9,8
7687,3,6
7692,7,10.5
7699,11,6
7702,1,4.5
7703,9,7
7704,6,.
7705,2,.
7707,16,3.5
7712,5,9
7714,1,.
7728,6,.
7733,7,.
7735,9,4.5
7737,4,12
7740,2,.
7741,3,6
7744,8,.
7745,4,10
7748,13,3.5
7755,6,6
7756,11,12.5
7783,4,9
7797,10,5
7802,9,5.5
7805,12,7.5
7807,6,9
7813,3,.
7817,6,14
7819,8,7.5
7820,6,8.5
7824,8,.
7832,8,13
7835,4,.
7836,9,9
7840,6,11.5
7864,11,6
7868,4,6
7874,5,.
7880,1,9
7881,13,.
7882,2,.
7883,9,12
7884,6,12.5
7885,5,6.5
7889,6,8
7894,5,.
7902,9,9
7912,3,5.5
7914,6,.
7928,8,17
7931,16,5.5
7939,5,2.5
7949,4,6
7951,2,13
7953,6,4.5
7959,8,6
7960,3,13
7961,5,6.5
7963,6,6
7968,7,.
7973,9,3.5
7979,5,.
7983,12,13
7985,8,7.5
7986,1,11
7995,6,.
8005,2,0.5
8012,19,13
8013,7,10.25
8019,6,6
8021,13,11.5
8023,8,5.5
8025,2,6
8026,9,6
8028,.,.
8031,9,12.5
8032,9,13
8043,4,9
8056,11,9
8058,12,14
8061,11,8.5
8063,15,15.5
8073,8,10.25
8074,5,11.5
8076,9,7.5
8078,4,4
8079,11,6.5
8081,4,9
8087,10,12
8090,6,6
8097,5,.
8098,6,.
8100,6,9.5
8101,3,.
8102,5,6.5
8104,8,.
8105,5,12.5
8106,3,.
8107,8,11.5
8111,2,.
8114,9,6
8115,4,12
8122,4,5
8123,7,10
8124,7,7.5
8128,20,15.5
8134,8,10.5
8137,7,.
8142,7,14
8144,4,8.5
8155,2,.
8163,20,9
8170,5,12
8179,3,.
8182,6,8.5
8184,3,.
8186,8,7.5
8192,7,9
8203,11,10.5
8224,8,4.5
8226,4,9
8235,13,12.5
8238,5,8.5
8243,5,6.5
8244,6,12
8246,4,4.5
8250,4,6
8254,6,10.5
8256,6,11
8260,5,9
8268,9,9.5
8285,.,.
8295,20,13.5
8300,10,10.5
8303,11,11
8320,5,1
8323,3,10
8332,7,8.5
8335,4,.
8346,2,.
8354,4,6
8363,12,.
8415,2,5.5
8444,4,10
8446,1,.
8450,1,.
8473,8,12.25
8474,9,12.5
8479,7,1
8485,4,7
8488,8,6
8502,10,.
8572,8,7.5
8900,2,.
8901,10,9
8995,11,16
